,source,edge,target
75,hadoop mapreduce,has pioneered,batch processing framework
76,apache nifi,also developed in,java
77,cassandra,is,keyvalue store
78,apache samza,is,stream processing framework
79,flink,is,primarily written
80,flink,is written in,java
81,apache samza,is,final stream processing framework
82,hadoop mapreduce,has pioneered,distributed batch processing framework
83,flink,is primarily written in,java
84,hadoop mapreduce,has pioneered,distributed most dominant batch processing framework
85,apache nifi,developed in,java
86,cassandra,is,distributed
87,hadoop mapreduce,has pioneered,distributed dominant batch processing framework
88,cassandra,is,distributed keyvalue store
89,hadoop mapreduce,has pioneered,most dominant batch processing framework
90,apache nifi,developed in,2006
91,one,implementations of,wide variety
92,one,implementations of,wide variety of object detection algorithms
93,one,implementations of,wide variety of object detection algorithms including all of networks
94,one,implementations of,variety of object detection algorithms including all of networks
95,one,implementations of,variety
96,one,implementations of,variety of object detection algorithms including all networks
97,one,implementations of,wide variety of object detection algorithms including all networks
98,one,implementations of,variety of object detection algorithms
99,pytorch,is,popular deep learning framework released
100,jeremy howard,calls,above step as label engineering as most
101,pytorch,is,very popular deep learning framework
102,mnist,testing,most sophisticated models
103,pytorch,is,popular learning framework released
104,fastai,will call,it
105,jeremy howard,calls,above step as most
106,jeremy howard,calls,above step as label engineering
107,pytorch,is,very popular learning framework released
108,pytorch,is,popular deep learning framework
109,mnist,testing,sophisticated models of day
110,mnist,testing,models of day
111,pytorch,released by,facebook
112,fast.ai,is,excellent
113,fastai,doing easy,data augmentation
114,pytorch,is,deep
115,fast.ai,is,excellent initiative
116,pytorch,is,very popular deep learning framework released
117,jeremy howard,calls,step as label engineering as most
118,mnist,is,dataset
119,mnist,is,standard
120,pytorch,is,learning framework released by facebook
121,pytorch,is,popular learning framework released by facebook
122,pytorch,is,deep learning framework released
123,jeremy howard,calls,step as label engineering as most of time
124,jeremy howard,calls,step as most of time
125,pytorch,is,popular
126,pytorch,is,popular learning framework
127,jeremy howard,calls,step as most
128,pytorch,is,learning framework released
129,jeremy howard,calls,above step as label engineering as most of time
130,pytorch,is,deep learning framework released by facebook
131,pytorch,is,very popular learning framework released by facebook
132,mnist,is,standard dataset
133,fast.ai,is,initiative
134,jeremy howard,calls,step as label engineering
135,pytorch,is,popular deep learning framework released by facebook
136,pytorch,is,deep learning framework
137,mnist,testing,models
138,pytorch,is,very popular learning framework
139,jeremy howard,calls,above step as most of time
140,fastai,doing,data augmentation
141,fast.ai,is initiative by,jeremy howard
142,fastai,doing incredibly easy,data augmentation
143,pytorch,is,learning framework
144,mnist,testing,most sophisticated models of day
145,mnist,testing,sophisticated models
146,pytorch,is,very popular deep learning framework released by facebook
147,fast.ai,is excellent initiative by,jeremy howard
148,jeremy howard,calls,above step
149,jeremy howard,calls,step
150,washington,is in,2009
151,s,take,look
152,s,take look at,speeches
153,meetups,hosted by,variety
154,meetups,hosted by,variety of companies
155,many years,get,medium app
156,many years,get,medium app like techniques of knitting
157,many years,get,medium app like techniques
158,backward graph,is,made
159,backward graph,is,already made
160,tldr backward graph,is,created
161,mulbackwardis,integrated in,graph
162,backward graph,is already made during,forward pass
163,backward graph,is made during,pass
164,mulbackwardis,integrated in,backward graph
165,backward graph,is made dynamically during,pass
166,tldr backward graph,is,created automatically
167,backward graph,is already made during,pass
168,backward graph,is,already made dynamically
169,mulbackwardis,dynamically integrated in,graph
170,backward graph,is already made dynamically during,forward pass
171,backward graph,is,made dynamically
172,backward graph,is made during,forward pass
173,backward graph,is made dynamically during,forward pass
174,mulbackwardis,dynamically integrated in,backward graph
175,backward graph,is already made dynamically during,pass
176,keras,has,class
177,keras,has,useful class
178,opencv,is,computer vision library
179,opencv,is,computer vision library with c python
180,keras,has,very useful class
181,arrays,is with,greyscale value for pixel
182,keras,is,api running
183,keras,is,api
184,bert,is,how able
185,bert,designated,small set of neurons
186,bert,designated,set of neurons
187,bert,set of,neurons
188,bert,produces,array of attention patterns
189,bert,array of,attention patterns
190,bert,generate,diverse patterns
191,bert,designated,small set as sep matching neurons
192,bert,builds on,two recent trends in field
193,bert,builds on,two trends
194,bert,is,able
195,bert,builds on,two recent trends in field of nlp 1 transfer learning
196,bert,builds on,two trends in field of nlp 1 transfer learning
197,bert,produces,rich array of attention patterns
198,bert,builds on,two trends in field of nlp 1 transfer learning
199,bert,builds on,two recent trends in field of nlp 1 transfer learning
200,bert,builds on,two recent trends
201,bert,small set as,sep matching neurons
202,bert,small set of,neurons
203,bert,generate,such diverse patterns
204,bert,designated,set as sep matching neurons
205,bert,set as,sep matching neurons
206,bert,builds on,two trends in field
207,bert,produces,rich array
208,bert,designated,small set of neurons as sep matching neurons
209,bert,produces,array
210,bert,designated,set
211,bert,generate,patterns
212,bert,designated,set of neurons as sep matching neurons
213,bert,generate,such patterns
214,bert,designated,small set
215,bert,rich array of,attention patterns
216,kmeans,is,popular
217,kmeans,clustering on,1 cluster
218,kmeans,clustering on,1 of cluster
219,kmeans,is,clustering algorithm for machine learning
220,kmeans,clustering on,1 cluster identified
221,kmeans,clustering on,1 optimal cluster
222,kmeans,clustering on,1 of optimal cluster identified here
223,kmeans,is,popular clustering algorithm
224,kmeans,is,popular clustering algorithm for machine learning
225,kmeans,clustering on,1 of cluster identified here
226,kmeans,is,popular clustering algorithm for unsupervised machine learning
227,kmeans,is,clustering algorithm for unsupervised machine learning
228,kmeans,clustering on,1 optimal cluster identified
229,kmeans,clustering on,1 cluster identified here
230,kmeans,clustering on,1 of optimal cluster
231,kmeans,clustering on,1 of cluster identified
232,kmeans,clustering on,1 optimal cluster identified here
233,kmeans,clustering on,1 of optimal cluster identified
234,kmeans,is,clustering algorithm
235,one,can compare,network performance
236,rmse,was,37334
237,v10,almost exact same strategy as,v8
238,v10,has,almost same strategy
239,v10,almost same strategy as,v8
240,v10,has,strategy as v8
241,v8,only casts rays from,players position
242,v8,casts rays from,players position determine
243,v10,has,almost exact same strategy
244,v10,has,almost strategy
245,v10,exact strategy as,v8
246,v10,has,almost strategy as v8
247,v10,has,exact same strategy
248,v10,exact same strategy as,v8
249,v10,has,almost exact strategy
250,v10,has,exact strategy as v8
251,v10,almost strategy as,v8
252,v10,same strategy as,v8
253,v10,strategy as,v8
254,v8,only casts rays from,players position determine
255,v8,casts rays from,players position
256,v8,only casts,single rays
257,v10,has,strategy
258,v10,almost exact strategy as,v8
259,v8,only casts,rays
260,v8,casts,rays
261,v10,has,same strategy
262,v10,has,exact strategy
263,auria,lives entirely on,cloud
264,attngan,is,large network
265,attngan,is,network
266,auria,lives on,cloud
267,attngan,is,large
268,auria,is,first artist
269,auria,is,artist
270,ocr,stands,character recognition
271,first,allows,import last.year data
272,first,allows,import data
273,playmonth,tell mood at_time,specific days
274,playmonth,tell,mood
275,ocr,scan,images documents containing
276,playmonth,tell mood at_time,days
277,ocr,stands,optical character recognition
278,ocr,scan,images documents
279,don t,see,your analysts
280,google,pretraining for,natural language processing
281,google,ai,2018 msc
282,google,pretraining for,language processing
283,s,understand,key image classification concepts
284,s,better understand,image classification concepts
285,s,train,our first image classification model
286,s,look at,mnist dataset
287,keras,code below,loads
288,s,first look at,mnist dataset
289,s,train,our image classification model
290,s,better understand,key image classification concepts
291,s,understand,image classification concepts
292,118,is,app s default input age
293,1,being score for,best possible model
294,xgbregressor,models,xgbclassifier
295,xgbregressor,are,models chosen for regression respectively
296,xgbregressor,are,models chosen respectively
297,1,being score for,possible model
298,rmse,is,calculated
299,xgbregressor,are,models chosen
300,1,being,score
301,xgbregressor,are,models chosen for regression
302,xgbregressor,are,models
303,np.argmin,find,index with smallest distance
304,np.argmin,assign,it
305,np.argmin,find,index
306,pca,visualize eigenvectors on,data
307,np.argmin,find,index with distance
308,kmeans,is,iterative
309,pca,visualize,eigenvectors
310,van rossum,is titled as,dictator
311,van rossum,is titled as,dictator by python community
312,van rossum,stepped from,his responsibilities in july 2018
313,van rossum,is titled as,benevolent dictator for life bdfl
314,van rossum,is titled as,dictator for life bdfl by python community
315,van rossum,is titled as,benevolent dictator by python community
316,python,was released by,python software foundation
317,python,supports,integer string data types
318,python,supports,integer string boolean data types
319,python,supports,integer string boolean data types
320,python,uses,spaces
321,python,uses,white spaces
322,van rossum,is,titled
323,van rossum,is titled as,benevolent dictator for life bdfl by python community
324,van rossum,is titled as,benevolent dictator
325,van rossum,stepped down from,his responsibilities in july 2018
326,python,was,released
327,python,has,wide range
328,integer,is in,python
329,van rossum,stepped down from,his responsibilities
330,python,was released in,year 1991
331,van rossum,stepped from,his responsibilities
332,van rossum,is titled as,dictator for life bdfl
333,python,was,released in year 1991 by python software foundation
334,python,uses spaces to,structure code
335,python,has,range
336,van rossum,stepped around,30 years
337,van rossum,stepped down around,30 years
338,microsoft,ran,benchmarking testing against tensorflow.js
339,microsoft,ran,benchmarking testing
340,don t,learning,skill associated with data science
341,don t,be,afraid
342,heshe,setting indicator variable to,0
343,decades,is in,document management system
344,today,show,you
345,docker,is,platform
346,1,was,predicted class
347,ime,is,based
348,ime,is based on,idea
349,ime,considers features in,other words
350,1,was,class
351,ime,considers features in,words
352,ime,considers,features
353,towardsdatascience.com keras,is,neural networks api capable
354,keras,is,neural networks
355,towardsdatascience.com keras,is,highlevel networks
356,keras,is,highlevel neural networks api capable
357,keras,is,networks
358,keras,is,part
359,towardsdatascience.com keras,is,highlevel neural networks
360,keras,is,maintained
361,keras,can,can installed
362,keras,was,developed
363,keras,using,pip keras
364,keras,is,neural networks capable
365,keras,is,highlevel networks capable
366,keras,is,neural networks api capable
367,keras,splits,it
368,towardsdatascience.com keras,is,networks api capable
369,keras,is,highlevel networks api capable
370,keras,is,networks capable
371,towardsdatascience.com keras,is,highlevel neural networks api capable
372,keras,is,highlevel neural networks capable
373,keras,is,highlevel neural networks
374,towardsdatascience.com keras,is,highlevel networks capable
375,keras,is,highlevel
376,keras,is,highlevel networks
377,keras,using,pip keras
378,keras,is maintained by,francois chollet
379,towardsdatascience.com keras,is,highlevel networks api capable
380,towardsdatascience.com keras,is,networks capable
381,towardsdatascience.com keras,is,neural networks capable
382,towardsdatascience.com keras,is,neural networks
383,keras,is,networks api capable
384,keras,is,neural
385,towardsdatascience.com keras,is,networks
386,towardsdatascience.com keras,is,highlevel neural networks capable
387,keras,is,capable
388,pong,has,very simple rewards setup
389,pong,has,simple rewards setup
390,pong,has,rewards setup
391,json data,use,toparquet
392,3,indicates,number
393,3,indicates,number of patterns detect
394,3,indicates,maximum number detect
395,3,indicates,maximum number of patterns
396,3,indicates,number of patterns
397,3,indicates,maximum number
398,3,indicates,maximum number of patterns detect
399,3,indicates,number detect
400,healthcare,transform,it
401,carl,may proposed,normalization process theory
402,carl,fifth may proposed,normalization process theory
403,eric luellen,is,chief data scientist author
404,eric luellen,is,awardwinning chief data scientist author
405,social media news,have produced data in,years
406,social media news,have produced,even data
407,social media news,have produced,more data
408,social media news,have produced,even more data
409,social media news,have produced,data
410,social media news,have produced data in,recent years
411,one,translates to,to dataset
412,ml,is incorporated,more
413,mhgan,use d in,order
414,mhgan,try,drs
415,mhgan,use,drs
416,cnns,work on,data meaning
417,bert models,are already available in,mxnetgluon
418,cnns,work well on,data meaning
419,rnns,are used for,timeseries data
420,cnns,work on,data
421,cnns,work well on,spatial data meaning
422,bert models,are,available
423,rnns,are,used
424,bert models,are,already available
425,cnns,work well on,data
426,mhgan,use,d
427,cnns,work on,spatial data meaning
428,mhgan,however try,drs
429,cnns,work well on,spatial data
430,bert models,are available in,mxnetgluon
431,cnns,work on,spatial data
432,bias,head of,primary table
433,s,left,do
434,hyperneat,uses,neat
435,hyperneat,is,more
436,numpy,is,basic library
437,numpy,is,one library
438,numpy,is library for,scientific computations
439,numpy,is,one such powerful library for array processing
440,numpy,is library for,computations in python
441,numpy,is,one such library
442,numpy arrays,can,can indexed
443,numpy,is library for,scientific computations in python
444,numpy,is,one such library for array processing
445,numpy,is basic library for,scientific computations in python
446,numpy,is,one such powerful library
447,numpy,is,one powerful library
448,numpy,is basic library for,scientific computations
449,numpy,is,library
450,numpy,is,one library for array processing
451,numpy,is basic library for,computations in python
452,numpy,is,one powerful library for array processing
453,numpy,is library for,computations
454,numpy,is basic library for,computations
455,phil goerdt,is,independent consultant specializing
456,phil goerdt,is,consultant specializing
457,bqml,is,advantage
458,bigqueryml,very appealing for,someone
459,bqml,is,incredible
460,bigqueryml,very appealing for,someone in my situation
461,phil goerdt,is,consultant specializing in cloud architecture
462,phil goerdt,is,independent consultant specializing in cloud architecture
463,bigqueryml,appealing for,someone
464,phil goerdt,is,independent consultant
465,phil goerdt,is,consultant
466,bqml,is,incredible advantage
467,bigqueryml,appealing for,someone in my situation
468,ego,thinking,famine
469,ego,thinking,perception
470,s,add on,fact
471,my year,is in,databefore jumping into my specific data visualizations
472,tableau,being,drag
473,my year,looked like,one realizations
474,2018,was year,where i went
475,half,allows,me
476,my year,looked like,one of realizations
477,my year,looked like,one of most startling realizations
478,my year,is in,fitness
479,2018,was year,i went beyond selftracking
480,s,look at,breakdown
481,my year,looked like,one startling realizations
482,tableau,is,quite expensive
483,s,look here at,data
484,tableau,is,expensive
485,my year,looked like,one most startling realizations
486,half,allows,you
487,my year,looked like,one of startling realizations
488,2018,was year,where i went beyond selftracking
489,2018,was year,i went
490,my year,is in,review with data
491,s,look at,data
492,xaxis,measures,proportion
493,30,belonging to,positive class
494,30,belonging to,class
495,xaxis,measures,proportion of data points
496,kaggle,are repositories,used
497,facebook,profile people with,degree
498,facebook,profile people with,degree accuracy
499,facebook,profile,people
500,facebook,profile people with,high degree
501,facebook,profile people with,high degree accuracy
502,xgboost,is in,python
503,xgboost,works with,data
504,xgboost,works with,numerical continuous data
505,xgboost,works with,numerical data
506,xgboost,works with,continuous data
507,beta0,called,beta1
508,statistician r. a. fischer,had,great ideahe discovered
509,statistician r. a. fischer,had,ideahe discovered
510,statistician r. a. fischer,had,great ideahe
511,beta0,also called,beta1
512,statistician r. a. fischer,had,ideahe
513,2,shows,topology of property analytics methods
514,2,shows,topology of intellectual property analytics methods
515,2,shows,topology
516,2,shows,topology of property analytics methods used
517,2,shows,topology of intellectual property analytics methods used
518,2,shows,topology of intellectual property analytics methods used in literature
519,2,shows,topology of property analytics methods used in literature
520,2,had maximum number in,original dataset class
521,2,had,maximum number
522,keras,seamlessly integrates well with,tensorflow
523,2,had maximum number in,dataset class
524,keras,seamlessly integrates with,tensorflow
525,keras,also seamlessly integrates with,tensorflow
526,2,had maximum number with,2010 records
527,keras,also seamlessly integrates well with,tensorflow
528,2,had,maximum number of training images
529,keras,integrates well with,tensorflow
530,keras,integrates with,tensorflow
531,us,remove,us nonstrategic
532,us,remove,almost us nonstrategic
533,us,remove,almost all us nonstrategic
534,us,remove,all us nonstrategic
535,ŷis,predicted,ith fitted value predicted by estimator based
536,ŷis,predicted,ith fitted value
537,ŷis,predicted,ith value predicted by estimator based on data set
538,zscore,is,defined
539,ŷis,predicted,ith value predicted by estimator based
540,ŷis,predicted,ith value predicted by estimator based on data set including observation
541,ŷis,predicted,ith fitted value predicted by estimator based on data set including observation
542,ŷis,predicted,ith fitted value predicted by estimator based on data set including ith observation
543,ŷis,predicted,ith value predicted by estimator based on data set including ith observation
544,ŷis,predicted,ith value predicted by estimator
545,ŷis,predicted,ith fitted value predicted
546,ŷis,predicted,ith fitted value predicted by estimator
547,ŷis,predicted,ith fitted value predicted by estimator based on data set
548,ŷis,predicted,ith value predicted by estimator based on data
549,ŷis,predicted,ith value
550,ŷis,predicted,ith value predicted
551,ŷis,predicted,ith fitted value predicted by estimator based on data
552,geographer,formed opinion on,data
553,google s,works,better
554,google s,works,better in our model
555,knn,classes for,test data
556,knn,is,nonprobabilistic supervised learning algorithm
557,knn,is,nonprobabilistic learning algorithm
558,knn,is,learning algorithm
559,knn,identify,classes
560,knn,identify,classes for test data
561,knn,is,supervised
562,knn,is,nonprobabilistic
563,knn,is,supervised learning algorithm
564,linear regression,is,type
565,linear regression,based on,example aarav
566,linear regression,is,basic type
567,app,is,computational
568,app,is,legal
569,cambridge analytica,predict,his
570,nix,promote,personality algorithm
571,kogan,mentioned in,his testimony to parliament s digital culture media
572,kogan,mentioned in,his testimony to british parliament s culture media
573,cambridge analytica,took,data generated by aleksandr kogan
574,kogan,mentioned in,his testimony to parliament s culture media
575,nix,openly bragged about,ability
576,second,was effectiveness of,facebook advertisements
577,sumpter,compared,this
578,cambridge analytica,took,data
579,second,was,effectiveness
580,nix,bragged about,ability
581,kogan,mentioned in,his testimony to british parliament s digital culture media
582,kogan s,dataset,wasn t useful
583,kogan,mentioned in,his testimony
584,cambridge analytica,used,facebook data of user
585,kogan s,dataset,wasn t very useful
586,cambridge analytica,took,data generated
587,textual data,has,lot of power
588,textual data,has,lot
589,eu,implementing,data protection regulation gdpr
590,eu,implementing,general data protection regulation gdpr
591,biostatistician,posting to,https
592,zand,coefficients of,random effects
593,zand,βare,coefficients
594,zand,βare respectively,coefficients of random effects
595,zand,βare respectively,coefficients
596,recall stephen,had,hedo
597,zand,βare,coefficients of random effects
598,zand,coefficients of,effects
599,zand,βare respectively,coefficients of effects
600,zand,βare,coefficients of effects
601,ml,is subset of,ai
602,ml,vs. is subset of,ai
603,ml,focuses on,ability
604,ml,focuses on,ability of machines
605,ml,is,subset
606,ml,is,vs. subset
607,70,will include,them
608,70,seen in,image
609,90,remove,options
610,90,is,too precise
611,90,is,precise
612,90,remove,other options
613,new york times,spoke to,gomezuribe
614,one,also implement,such exploreexploit strategies with factorization models
615,carlos a. gomezuribe,is,former vice president of product innovation
616,one,implement,such exploreexploit strategies
617,netflix,was planning,global product
618,one,also implement,exploreexploit strategies with factorization models
619,netflix,was planning,streamingbased product
620,carlos a. gomezuribe,is,former vice president
621,one,also implement,exploreexploit strategies
622,one,implement,exploreexploit strategies with factorization models
623,netflix,was planning,product
624,one,implement,such exploreexploit strategies with factorization models
625,netflix,was planning,streamingbased global product
626,new york times,spoke about,his career
627,one,also implement,such exploreexploit strategies
628,one,implement,exploreexploit strategies
629,11,m for,training examples
630,rnns,have,capability
631,rnns,is with,lstm
632,pink floyd,are better in,conditions than in real life
633,pink floyd,are much better at,speech recognition systems
634,pink floyd,are,better at speech recognition systems in ideal conditions than in real life
635,pink floyd,are better in,ideal conditions than in real life
636,pink floyd,are,much better at speech recognition systems in ideal conditions than in life
637,pink floyd,are,much better at speech recognition systems in conditions than in real life
638,pink floyd,are,much better at speech recognition systems in ideal conditions than in real life
639,pink floyd,are,better at speech recognition systems in conditions than in real life
640,pink floyd,are much better in,conditions than in real life
641,pink floyd,are much better in,ideal conditions than in life
642,pink floyd,are,much better at speech recognition systems in conditions than in life
643,pink floyd,are,better at speech recognition systems in conditions than in life
644,pink floyd,are better at,speech recognition systems
645,pink floyd,are better in,conditions than in life
646,pink floyd,are much better in,conditions than in life
647,pink floyd,are,better at speech recognition systems in ideal conditions than in life
648,pink floyd,are,much better
649,pink floyd,are better in,ideal conditions than in life
650,pink floyd,are much better in,ideal conditions than in real life
651,pink floyd,are,better
652,one,can expect,questions
653,seth stephensdavidowitz,uses examples from,his time as data scientist at google
654,tetlock,outperform,analytics firms
655,seth stephensdavidowitz,uses,examples
656,facebook,is in,terms of fundamental sociological information
657,tetlock,outperform,top analytics firms
658,tetlock,was,able
659,seth stephensdavidowitz,uses examples from,his time as data scientist
660,seth stephensdavidowitz,uses examples from,his time
661,ppr data,is,perfect
662,dublin cork kildare galway,had,greatest number of property purchases
663,dublin cork kildare galway,had,greatest number
664,dublin cork kildare galway,number of,property purchases
665,dublin cork kildare galway,had,number of property purchases
666,dublin cork kildare galway,had number in,past two years
667,dublin cork kildare galway,number,meath
668,ppr data,is,near perfect
669,dublin cork kildare galway,greatest number,meath
670,ppr data,is,nowhere perfect
671,dublin cork kildare galway,had,meath
672,ppr data,is,nowhere near perfect
673,dublin,have,6w
674,dublin cork kildare galway,had,number
675,dublin cork kildare galway,greatest number of,property purchases
676,kruijswijk,gone through,great lengths
677,kruijswijk,gone,robin van emden
678,kruijswijk,build,robin van emden
679,kruijswijk,gone through,lengths
680,google amazon,are throwing,world
681,s,explain,some of algorithms
682,s,explain,some used algorithms
683,s,explain,some frequently used algorithms
684,lda,assigns document to,mixture
685,s,explain,some of most frequently used algorithms
686,s,explain,some most frequently used algorithms
687,s,explain,some algorithms
688,s,explain,some of frequently used algorithms
689,nlp,is booming,thanks
690,microsoft,launched on,16-Mar
691,nlp,is booming thanks at_time,today
692,nlp,is booming,thanks to huge improvements
693,lda,assigns,document
694,nlp,is booming,thanks to improvements
695,s,explain,some
696,s,explain,some of used algorithms
697,s,count,words
698,don t,expect,perfect model
699,don t,expect,model
700,ibm,is in,2002
701,stance mitre,used,neural network rnn model organized into 4 layers
702,2018,been year in,field
703,2018,been,exciting year
704,mitre,used,embeddings pretrained on massive twitter dataset similar distribution
705,mitre,applied transfer learning via,use
706,mitre,also applied,transfer learning
707,mitre,used,embeddings pretrained on twitter dataset distribution
708,stance mitre,used,recurrent neural network rnn model
709,2018,been exciting year in,field
710,mitre,used,embeddings pretrained on twitter dataset similar distribution
711,stance mitre,used,recurrent neural network rnn model organized
712,stance mitre,used,network rnn model
713,mitre,applied transfer learning via,use of word embeddings
714,stance mitre,used,neural network rnn model
715,2018,been hugely exciting year in,field
716,mitre,also applied transfer learning via,use of word embeddings
717,2018,been year in,field in particular
718,stance mitre,used,network rnn model organized
719,stance mitre,used,recurrent neural network rnn model organized into 4 layers
720,stance mitre,used,recurrent network rnn model organized into 4 layers
721,mitre,applied,transfer learning
722,stance mitre,used,network rnn model organized into 4 layers
723,stance mitre,used,recurrent network rnn model
724,2018,been hugely exciting year in,field in particular
725,stance mitre,used,recurrent network rnn model organized
726,mitre,used,embeddings pretrained on massive twitter dataset distribution
727,2018,been,exciting
728,2018,been,year
729,2018,been exciting year in,field in particular
730,mitre,used,embeddings
731,mitre,used,embeddings pretrained
732,2018,been,hugely exciting year
733,stance mitre,used,neural network rnn model organized
734,mitre,also applied transfer learning via,use
735,one,is understanding of,dataset
736,first,is size of,dataset
737,first,is,enormous size
738,first,is enormous size of,dataset
739,first,is,size
740,model.py,contains,model
741,96.55,97.22,recall
742,model.py,contains,actual model
743,pjreddie.comprojectsmnistincsvto,convert dataset into,csv format
744,pjreddie.comprojectsmnistincsvto,convert,dataset
745,loadimgid pil,is,python imaging library
746,kubernetes,automates,deployment scaling of applications
747,kubernetes,automates,deployment scaling
748,kubernetes,automates,deployment scaling of containerized applications
749,lambda blueprint,has already populated,code
750,kinesis stream,is,selected
751,lambda blueprint,has populated,code
752,lambda blueprint,has populated code with,predefined rules
753,lambda blueprint,has populated code with,rules
754,lambda blueprint,has already populated code with,predefined rules
755,lambda blueprint,has already populated code with,rules
756,jeff hale,outlined,technology skills most commonly listed
757,jeff hale,outlined,technology skills commonly listed
758,jeff hale,outlined,technology skills commonly listed in data science job postings
759,jeff hale,outlined,technology skills most listed
760,jeff hale,outlined,technology skills listed in data science job postings
761,jeff hale,outlined,technology skills most commonly listed in data science job postings
762,tableau,can,can connected to additional data sources
763,jeff hale,outlined,technology skills listed
764,tableau,can,can connected
765,jeff hale,scraped,job
766,jeff hale,outlined,technology skills
767,jeff hale,outlined,technology skills most listed in data science job postings
768,jeff hale,scraped,several job
769,knowledge graphs,also allow,you
770,kinda,borrowed definition of,machine learning machine learning
771,knowledge graphs,allow,you
772,kinda,definition of,machine learning machine learning
773,kinda,borrowed and personalized definition of,machine learning machine learning
774,china,notably visible,india
775,china,visible,india
776,kaplan,also explained,vision
777,kaplan,explained,moderate vision
778,kaplan,explained,vision
779,kaplan,also explained,moderate vision
780,ucl,is in,london
781,transformerxl,presents,results for language modeling on several different datasets bigsmall characterswords etc
782,transformerxl,presents,results for language modeling on datasets bigsmall characterswords etc
783,transformerxl,presents,results
784,transformerxl,relies on,vanilla transformer alrfou
785,transformerxl,presents,results for language modeling on different datasets bigsmall characterswords etc
786,transformerxl,presents,stateoftheart results for language modeling on different datasets bigsmall characterswords
787,stateoftheart sota,results on,language modeling datasets
788,transformerxl,presents,results for language modeling on datasets bigsmall characterswords
789,transformerxl,heavily relies on,vanilla transformer alrfou
790,transformerxl,presents,results for language modeling
791,transformerxl,presents,stateoftheart results for language modeling on several different datasets bigsmall characterswords etc
792,transformerxl,presents,results for language modeling on several datasets bigsmall characterswords
793,transformerxl,presents,results for language modeling on several different datasets bigsmall characterswords
794,transformerxl,presents,results for language modeling on different datasets bigsmall characterswords
795,transformerxl,presents,stateoftheart results for language modeling on different datasets bigsmall characterswords etc
796,transformerxl,presents,stateoftheart results for language modeling
797,transformerxl,presents,stateoftheart results for language modeling on datasets bigsmall characterswords etc
798,transformerxl,presents,stateoftheart results for language modeling on several different datasets bigsmall characterswords
799,transformerxl,relies from,two shortcomings
800,transformerxl,presents,results for language modeling on several datasets bigsmall characterswords etc
801,transformerxl,presents,stateoftheart results for language modeling on several datasets bigsmall characterswords etc
802,transformerxl,presents,stateoftheart results
803,transformerxl,heavily relies from,two shortcomings
804,transformerxl,presents,stateoftheart results for language modeling on several datasets bigsmall characterswords
805,stateoftheart sota,results on,multiple language modeling datasets
806,transformerxl,presents,stateoftheart results for language modeling on datasets bigsmall characterswords
807,us,train,performance language models
808,mudano,has collected,dataset of project status updates across number of it transformation projects
809,us,train custom language model on,gpu
810,mudano,has collected,dataset of project status updates across number of large it transformation projects
811,mudano,has collected,small dataset of project status updates
812,mudano,has collected,dataset across number of large it transformation projects
813,fastai.text,uses,awdlstm model
