subject_id,subject_label,predicate,object_id,object_label,origin
llm_b9bd7c61,Word2Vec,ns0__Is_part_of,llm_de80518b,Word_Embeddings,llm
llm_5ad5c3e7,Similarity,ns0__Requires,llm_4308062f,Sentence_Embeddings,llm
llm_59fb46fa,Create_Vector_Space,ns0__Is_a,llm_cf9218ef,Text_Processing,llm
llm_7a223c3e,Word_Embeddings,ns0__Is_implementing,llm_67d23486,Embeddings,llm
llm_0d77a54e,Graph_Embeddings,ns0__IsAppliedIn,llm_7ee6796f,Create_Named_Entities,llm
llm_6b917482,Sentence_Embeddings,ns0__Is_part_of,llm_8c635e1b,Text_Processing,llm
llm_1819772e,Create_Named_Entities,ns0__Requires,llm_1e1c80f1,Word2Vec,llm
llm_936a9c06,Text_Processing,ns0__Is_a,llm_d4491b5e,Create_Vector_Space,llm
llm_ba1515de,Embeddings,ns0__IsAppliedIn,llm_445e70d5,Graph_autoencoder,llm
llm_06d9ba7b,Graph_autoencoder,ns0__Requires,llm_83c4dcf2,Sentence_Embeddings,llm
llm_b4c1d989,Sentence_Embeddings,ns0__Is_implementing,llm_8f14db07,Create_Vector_Space,llm
llm_7591fecb,Word2Vec,ns0__IsAppliedIn,llm_0feb5756,Text_Processing,llm
llm_d88d81bb,Graph_Embeddings,ns0__Is_part_of,llm_8fe86128,Create_Vector_Space,llm
llm_7b97f3ed,Word_Embeddings,ns0__Requires,llm_c0c161f9,Similarity,llm
7,ML_Engineer,ns0__Is_part_of,124,Data_Science,domain
12,Platform_Engineer,ns0__Is_part_of,124,Data_Science,domain
104,Data_Consumer,ns0__Is_part_of,124,Data_Science,domain
113,Data_Analyst,ns0__Is_part_of,124,Data_Science,domain
127,Data_Steward,ns0__Is_part_of,124,Data_Science,domain
143,Contact_Lense_Personalization,ns0__Is_part_of,570,Healthcare,domain
143,Contact_Lense_Personalization,ns0__IsSolvedBy,87,Clustering,domain
264,Data_Provider,ns0__Is_part_of,124,Data_Science,domain
344,DevOps_Engineer,ns0__Is_part_of,124,Data_Science,domain
518,Application_Engineer,ns0__Is_part_of,124,Data_Science,domain
570,Healthcare,ns0__Requires,12,Platform_Engineer,domain
570,Healthcare,ns0__Requires,801,Data_Scientist,domain
570,Healthcare,ns0__Requires,547,System_Engineer,domain
570,Healthcare,ns0__Requires,113,Data_Analyst,domain
570,Healthcare,ns0__Requires,819,Domain_Expert,domain
688,Data_Engineer,ns0__Is_part_of,124,Data_Science,domain
765,Fragmented,ns0__IsAppliedIn,570,Healthcare,domain
801,Data_Scientist,ns0__Is_part_of,124,Data_Science,domain
817,Data_Owner,ns0__Is_part_of,124,Data_Science,domain
llm_d146f61c,Data_Science,ns0__Requires,llm_f64e250f,ML_Engineer,llm
llm_f8a15814,Contact_Lense_Personalization,ns0__Requires,llm_a772926e,Data_Scientist,llm
llm_602f1fbf,Data_Analyst,ns0__IsSolvedBy,llm_36a0c09c,Machine_Learning_Models,llm
llm_2b17ffd2,Data_Science,ns0__IsAppliedIn,llm_3b761707,Healthcare,llm
llm_d5c6b22d,Platform_Engineer,ns0__IsSolvedBy,llm_69de13c8,Cloud_Computing,llm
llm_d07be99d,Data_Owner,ns0__Requires,llm_aa79bf65,Data_Security_Solutions,llm
llm_ece2d43a,Healthcare,ns0__IsSolvedBy,llm_8f4a7ed2,Data_Science,llm
llm_93c230dc,Data_Scientist,ns0__IsAppliedIn,llm_ac9dfc78,Contact_Lense_Personalization,llm
llm_702e3c2b,Domain_Expert,ns0__Is_part_of,llm_72453d06,Healthcare,llm
llm_832fb13a,ML_Engineer,ns0__IsSolvedBy,llm_4c88aebb,Deep_Learning_Models,llm
llm_16db2c4d,Data_Analyst,ns0__Requires,llm_6d70a2e8,Statistical_Software,llm
llm_b1fb7006,Data_Consumer,ns0__IsSolvedBy,llm_c827a0d8,Data_Visualization_Tools,llm
llm_c10cdcc5,Domain_Expert,ns0__Requires,llm_80b28d35,Expert_Systems,llm
llm_d0616185,Healthcare,ns0__Is_part_of,llm_2de1f747,Data_Science,llm
llm_60ba578b,Platform_Engineer,ns0__Requires,llm_6173df99,Distributed_Computing_Solutions,llm
usr_2f6bae32,our AI powered MedBox concept,ns0_Is_Implementing ,usr_110baf39,opportunity,user
usr_65289294,a smart device,ns0_Is_Implementing ,usr_55ffa575,device,user
usr_64071f6b,It,ns2_IsDetermining ,usr_4e73f244,medication intake,user
usr_4f077159,voice commands,ns0_Is_a ,usr_e2a909f3,seniors in mind,user
usr_68fa4cdb,MedBox,ns0_Is_Implementing ,usr_31d2013a,an AI health assistant connecting patients doctors and pharmacies providing valuable insights while ensuring privacy,user
usr_5f3ff688,seniors,ns0_Is_Implementing ,usr_cd35b0a7,this innovative solution,user
usr_ba6b4792,our chance to leverage cutting edge AI technology to make a real difference potentially improving treatment outcomes and transforming elderly care as we know it,ns0_IsSolvedBY,usr_5df70531,edge AI technology,user
